Username,Address,Rating,Comment
Ngân Huỳnh,VinWonders Nha Trang,1,"Trải nghiệm cực kì tệ. Đầu tiên là không có tờ map nào hướng dẫn, thứ 2 là rất ít nhân viên, hầu như không có nhân viên nào ở dọc đường đi để hỗ trợ khách. Công viên nước thì không có chỗ để khách lấy phao, phải đứng chờ khách khác xuống đưa. Khi đến chỗ thấy nhân viên đang xếp phao, mình đên xin thì nhân viên không cho, bắt mình đợi khách nào trượt xuống rồi đưa. Tối đi coi tatashow thì nhân viên rất ít và không biết quản lý khách kêu khách ngồi xuống để ko ảnh hưởng khách sau. Có phát loa nhưng phát loa bằng tiếng Việt thì khách nước ngoài người ta ko hiểu, nhân viên cũng không thèm nhắc. Kết quả là các khách đứng sau không thấy gì cả, tệ nhất là các em bé nhỏ không xem được luôn. Tóm lại là quá tệ!!!!"
Discover56527343211,VinWonders Nha Trang,1,"5 sao trên google review toàn seeding Chất lượng tệ xong đi xoá review của khách, post lại để KH khác ko bị mất tiền như t.Rất nhiều trò chơi bảo trì, còn ít trò để chơi, máy móc thiết bị khu trò chơi trong nhà cũng rất chán, cũ, hoàn toàn không xứng với số tiền bỏ ra. Khu chơi nước nghỉ cũng sớm hơn trước rất nhiều . 5h30 nghỉ thì 5h đã không cho mình xếp hàng chơi vì còn khách chờ ( khách chờ dài đúng rồi, vì có bao nhiêu trò chơi được đâu)"
Sightsee29460975130,VinWonders Nha Trang,1,"1. Quét nhân trắc cho bé nhỏ sai TẬN 2 LẦN, làm con bé khóc, đi chơi cũng mất vui. Buổi trưa hướng dẫn viên đã làm việc với nhân viên để fix, thời gian fix rất lâu, trưa nắng mà nhân viên thái độ cực kì tệ. Chiều đi vào chơi công viên nước thì quét được nhưng tối vào coi nhạc nước và tata show lại bị tiếp, đổi thừa do khách sạn. Nhưng đây là bị lần 2, mà vẫn không chịu nhận lỗi là sao? Trể mất nửa show nhạc nước mà tối đó cũng không vui gì. Thái độ nhân viên nam lúc đó cũng xấc xược nốt.2. Chỉ có nhân viên ở khu công viên nước là dễ thương thôi. Còn nhiêu ở mấy khu đi tìm thỏ, câu chuyện tata thái độ cũng như mẹ khách nốt. Tủ đồ hết chỗ, nhờ nhân viên để tủ khác thì bị lườm liếc, nói trống không. Cứ nghĩ khách là học sinh cấp 3 nên muốn nói gì nói, người ta lễ phép lịch sự với mình mà mình thái độ vậy đó hả?3. Khách du lịch nước ngoài chen hàng cực kì nhiều nhưng nhân viên không có nhắc nhở.Nên chỉnh đốn lại cách xử lí khi quét nhân trắc vì tốn rất nhiều thời gian của khách, mình sai thì mình nhận lỗi chứ không có cái kiểu mà đổ lỗi cho khách sạn này kia. Thanks! Và đương nhiên đừng hòng tôi quay lại. Có đi thì chỉ đi vinpearl nam Hội An thôi"
Andy369,VinWonders Nha Trang,1,"Chúng tôi lên cáp lúc 15h20, Buồng cáp số 74 có rất nhiều mùi thuốc lá trong khi các bạn cấm hút thuốc lá trên cáp, đã có chuyện gì xảy ra trước đó ?"
thao n,VinWonders Nha Trang,1,"No rental bikes? Đi bộ xa kiểu này nghĩ tới là muốn mệt huống hồ gì nghĩ tới chuyện ăn chơi, các khu du lịch nổi tiếng trên thế giới đều có dịch vụ xe đạp điện hoặc scooter."
Voyage13026661038,VinWonders Nha Trang,1,"Thanh toán cáp treo 2 chiều nhưng 18h00 khi chiều về nhân viên viện đủ lý do , thoái thác không cho khách lên . Ko biết vì lí do gì mà buổi chiều ko muốn cho khách lên cáp treo về bờ"
huy hoc t,VinWonders Nha Trang,1,"Cách vận hành và thái độ của nhân viên càng ngày càng tệ,trời mua tầm tã bao nhiêu con người già trẻ xếp hàng dầm mưa để lên vòng quay mặt trời nhưng,cách xắp xếp của nhân viên quá tệ khiến nhiều người dù đã phải dầm mưa nhưng bức xúc bỏ cuộc quay về.1 không có mái che khu vực xếp hàng lên vòng quay, nhưng dù khách có xếp hàng dầm mưa thù nhân viên cũng không cho lên khu vực có mái che để che mưa.2,không biết cách xắp xếp,khi trời mưa có rất nhiều khách  không xuống và chỉ ngồi có 2 người hoạc có những người đi theo nhóm chỉ 2 khách 3 người nhưng vẫn không xắp cho  các khách lẻ để đi chung ,dù một cabin dư chỗ để ngồi được 6 -_8 người.Dù là bỏ ra số tiền không rẻ lưu trú tại khách sạn Vinpearl Nha Trang resot và sử dụng các dịch vụ tại đây,khách hàng bỏ tiền ra để sử dụng dịch vụ nhưng cảm giác thái độ của nhân viên giống y như xin cho bố thí.không biết quy trình và quy định của các cấp lãnh đạo vinpearl hiện tại như thế nào mà từ lễ tân check in trước khi lên cáp treo qua đảo thái độ phục vụ cũng rát khó chịu với khách hàng.dù biết là mùa hè cao điểm khách đông nhưng làm ngành dịch vụ không thể có thái độ lồi lõm như vậy được,cảm giác mất vui và bực bội khi đến vinpearl Nha Trang lần nàyTôi là khách lưu trú tại vinpearl Nha Trang ngày 22/7/2024 và sử dụng trò chơi vòng quay Mặt Trời lúc 18h cùng ngày."
Trang Huyền,VinWonders Nha Trang,1,Lại thêm một lần trải nghiệm thất vọng của Vin. Mình nhận phòng 3735 Vin Wonder Phú Quốc ngày 14/7 lại hỏng điều hoà. Lúc mình nhận là 16g mà bên Vin vẫn chưa khắc phục xong. Có rất nhiều phương án giải quyết nhưng Vin đã không giải quyết để mình nhận phòng 1 cách thoải mái nhất.
Travel12387462460,VinWonders Nha Trang,1,"Nay ngày 12/7/2024. Trải nghiệm quá tệ. Nguyên khu rộng lớn như vậy mà k có nổi dịch vụ thuê xe đạp điện cho khách du lịch, xe đạp điện như vậy đi sẽ tự do thoải hơn xe bus dịch vụ của vinwonders. Điểm này còn thua Sunwork. Đi bộ mệt đến nổi chẳng còn sức mà chơi những trò khác nữa. Chưa kể đã có nhiều ý kiến về việc đi bộ vậy rồi mà k thấy lãnh đạo của vinwonders khắc phục."
PALACE HOTEL SAIGON,VinWonders Nha Trang,1,"cách quản lý tại Vinwonder quá tệ, ngày 15/6/2024 cty chúng tôi đã có một trải nghiệm kinh hoàng khi phải ch5u cảnh chen lấn suốt 4 tiếng đồng hổ đợi tàu để về đất liền. Đến rạnh sáng hôm sau mới thoát khỏi kiếp nạn tưởng như bị đè bẹp tắt thở tại chỗ vì lượng người quá đông cáp treo không hoạt động, tất cả đổ dồn về tàu mà tiếc thay cho Vin một tập đoàn lớn mà cách quản lý quá tệ khi sự cố xảy ra không có một lời thông báo, giải quyết sao cho mọi người xếp hàng ngay thẳng để mọi người hoang mang chen lấn lẫn nhau. Có rất nhiều người già, trẻ em thiếu nữ phải ngất xỉu, kêu cứu,.Đang trách nhất là bên Vin ko có ai ra quản lý khâu tổ chức xếp hàng cho mọi người được lần lượt về đất liển bằng tàu. Không xứng đáng 1 sao.  Do vậy rất mong mọi người lưu ý khi chọn đi ra Đảo vào những dịp cao điểm."
